Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.9617		0.8101		0.0000		0.2683		0.00050000
2		0.6243		0.6962		0.0000		0.3248		0.00045477
1		0.9624		0.8738		0.0000		0.2655		0.00050000
2		0.6186		0.6766		0.0000		0.3261		0.00045477
3		0.5358		0.6012		0.0000		0.3579		0.00040903
4		0.4904		0.6313		0.0000		0.3565		0.00036271
5		0.4549		0.5451		0.0000		0.3804		0.00031572
6		0.4181		0.5563		0.0000		0.3990		0.00026794
7		0.3920		0.5106		0.0000		0.4104		0.00021919
8		0.3647		0.4994		0.0000		0.4290		0.00016919
9		0.3383		0.5062		0.0000		0.4406		0.00011746
10		0.3159		0.4829		0.0000		0.4567		0.00006295
